Star Number,Star Name,Durchmusterung Identification,RA (degrees),Dec (degrees),Parallax (arsec),Distance (parsecs),X (parsecs),Y (parsecs),Z (parsecs)
158,,BD+81   13,0.6631388888888889,82.49388888888889,0.028,35.714285714285715,4.665113878748485,0.05399623854555132,35.4082476407145
159,,CD-25  225,0.6224166666666667,-24.76722222222222,0.076,13.157894736842106,11.946890965140962,0.12978681209504267,-5.512272267972311
163,30Eps And,BD+28  103,0.6425833333333333,29.311666666666667,0.031,32.25806451612903,28.12628282551716,0.3154549694307713,15.792258511942576
165,31Del And,BD+30   91,0.6554722222222222,30.860833333333336,0.028,35.714285714285715,30.655699380747073,0.350721051810269,18.319806066187304
166,54    Psc,BD+20   85,0.6560555555555556,21.250555555555554,0.099,10.1010101010101,9.413568263041935,0.10779316953868734,3.661081568383659
167,55    Psc,BD+20   87,0.6654444444444445,21.438333333333333,0.009,111.11111111111111,103.41652351291191,1.2011538382348892,40.611068765866214
168,18Alp Cas,BD+55  139,0.6751388888888888,56.53722222222222,0.016,62.5,34.45980343404605,0.4060723221854024,52.14026325744878
170,,CD-34  224,0.6660833333333334,-33.961666666666666,0.02,50.0,41.46777323497121,0.48209898247326366,-27.931905833725406
173,,CD-24  263,0.6758055555555555,-23.804444444444446,0.043,23.255813953488374,21.275923699093514,0.25096184015317696,-9.386424854245762
175,32    And,BD+38   90,0.6853333333333333,39.45861111111111,0.01,100.0,77.2028635747355,0.9234924413520287,63.552065407597446
176,,CP-60   46,0.6739999999999999,-59.45444444444445,0.058,17.241379310344826,8.76186405782242,0.10307511027613152,-14.848712882841658
180,Mu  Phe,CD-46  180,0.6887777777777778,-46.085,0.004,250.0,173.38508195898984,2.0844387779159588,-180.09238870384138
184,20Pi  Cas,BD+46  146,0.7244722222222222,47.02472222222222,0.023,43.47826086956522,29.636010240600143,0.3747502991652088,31.81077847953874
187,Rho Tuc,CP-66   47,0.7078888888888888,-65.46805555555555,0.038,26.315789473684212,10.925495399799079,0.13499127530315588,-23.9402611357485
188,16Bet Cet,BD-18  115,0.7265,-17.986666666666668,0.061,16.39344262295082,15.59101545803696,0.19770181856284802,-5.062224018173242
191,Eta Phe,CP-58   42,0.7225555555555556,-57.463055555555556,0.046,21.73913043478261,11.691316292075614,0.1474466961832418,-18.32706127263516
194,17Phi1Cet,BD-11  128,0.7364999999999999,-10.609444444444444,0.022,45.45454545454546,44.673809553289026,0.5742844120378909,-8.368789631117039
195,Lam2Scl,CD-39  181,0.7366944444444444,-38.42166666666667,0.01,100.0,78.33937509583988,1.0073231130005365,-62.144409320061264
196,,BD+54  143,0.7547777777777778,55.22166666666667,0.012,83.33333333333333,47.52945942340306,0.6261587743717818,68.44708070146456
197,,BD-22  127,0.7456666666666666,-22.00611111111111,0.048,20.833333333333332,19.313862055394537,0.25137132967513715,-7.806364245766805
209,,CD-48  176,0.7626666666666667,-47.55166666666666,0.049,20.408163265306122,13.77276119584682,0.18334066464777304,-15.058903117632866
210,,CD-23  293,0.7699444444444445,-22.521944444444443,0.021,47.61904761904761,43.98330917108154,0.5910861747097946,-18.23986917826565
211,57    Psc,BD+14  111,0.7758333333333334,15.475555555555555,0.015,66.66666666666667,64.24373512916281,0.8699677026182391,17.78848215264073
215,34Zet And,BD+23  106,0.7889722222222222,24.26722222222222,0.037,27.027027027027028,24.636543696794213,0.33927066622461527,11.107916096668998
217,61    Psc,BD+20  105,0.7985555555555556,20.92527777777778,0.022,45.45454545454546,42.45255813186745,0.5917176045873908,16.23409624266704
219,24Eta Cas,BD+57  150,0.8183333333333334,57.81583333333333,0.176,5.6818181818181825,3.0260686861394275,0.04322310115073923,4.80875222085033
